REGIONS,,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
,Saluyot,61.86,59.6,64.08,62.15,64.82,63.46,65.4,67.25,69.28,69.75,69.98,70.34,71.76
,Sampaguita,4.65,3.61,2.74,1.9,1.55,0.1,0,0,0,0,0,0,0
,Samsamping,0,0,0,0,0,0,0,0,0,0,0,0,0
,San Francisco,9.2,7.15,6.25,3.4,2.45,0.6,0,0,0,0,0,0,0
,Sangig,0,0,0,0,0,0,0,0,0,0,0,0,0
,Santan,6.75,5.95,6.05,4.3,3.45,1.5,0,0,0,0,0,0,0
,Santol,97.74,59.06,53.28,49.9,39.57,35.81,32.96,34.09,34.38,34.18,32.9,32.99,32.53
,Sayung-sayong,0,0,0,0,0,0,0,0,0,0,0,0,0
,Serial/Sarale,0,0,0,0,0,0,0,0,0,0,0,0,0
,Sesame,2.3,1.2,0.5,0,0,0,0,0,0,0,0,0,0
,Sineguelas,0.2,0.09,0.02,0.05,0.08,0.15,0.2,0.18,0.16,0.12,0.1,0.2,0.25
,Sirialis,0,0,0,0,0,0,0,0,0,0,0,0,0
,Snap Beans/Habitchuelas,5.98,4.9,4.45,4.43,4.45,4.36,4.58,4.75,4.88,5.2,5.05,5.15,5.33
,Song of Korea,0,0,0,0,0,0,0,0,0,0,0,0,0
,Sorghum,11.75,6.5,4,3.5,2.5,1.25,0,0,0,0,0,0,0
,Soybeans,31.2,29.55,32.75,10.55,9.73,9.7,9.75,9.79,9.7,10.05,10.22,10.19,10.15
,Spinach,5.96,6.35,6.9,7.05,7.42,7.1,6.61,6.81,6.83,7.19,7.35,7.55,7.66
,Spraymum,0,0,0,0,0,0,0,0,0,0,0,0,0
,Spring Onion,0,0,0,0,0,0,0,0,0,0,0,0,0
,Squash Fruit,1530.29,1484.5,1516.58,1534.52,1545.62,1535.17,1520.47,1552.19,1608,1620.8,1630.14,1652.95,1667.97
,Squash tops,42.96,41.53,42.41,40.46,39.94,41.54,41.6,41.8,43.87,44.5,45.05,45.1,45.31
,Starapple,47.88,39.6,17.13,18.03,18.76,14.85,13.96,19.5,19.09,22.04,21.71,22.92,22.7
,Statice,0,0,0,0,0,0,0,0,0,0,0,0,0
,Strawberry,0,0,0,0,0,0,0,0,0,0,0,0,0
,Stringbeans,423.39,430.25,448.34,445.26,444.67,444.89,428.83,445.56,460.03,459.6,461.57,470.16,478.39
,Sugarcane,48870.59,56095.42,92790.69,92209.41,76364.23,113343.18,36065.86,109894.29,114642.73,91310.71,126630.8,151979.92,141471.07
,Sugarcane for Basi/Vinegar,0,0,0,0,0,0,0,0,0,0,0,0,0
,Sugarcane for Centrifugal Sugar,48836,56062.7,92760.95,92179.77,76337.6,113328.72,36052.55,109881.6,114629.14,91298.75,126619.46,151969.65,141461.25
,Sugarcane for Chewing,34.59,32.72,29.74,29.64,26.63,14.46,13.31,12.69,13.59,11.96,11.34,10.27,9.82
,Sugarcane for Ethanol,0,0,0,0,0,0,0,0,0,0,0,0,0
,Sugarcane for Panocha/Muscovado,0,0,0,0,0,0,0,0,0,0,0,0,0
,Sugodsugod,0,0,0,0,0,0,0,0,0,0,0,0,0
,Swamp Cabbage/Kangkong,16506.79,16452.43,16856.63,16956.44,17097.19,17177.37,17452.05,17645.2,17900.83,17906.86,18211.06,18335.43,18473.18
,Sweet Peas,0,0,0,0,0,0,0,0,0,0,0,0,0
,Sweet Potato/Camote,6081.12,5977.04,6120.71,6171.27,6263.57,6337.25,6243.31,6329.81,6399.72,6390.62,6498.17,6536.15,6564.34
,Tabon-tabon,0,0,0,0,0,0,0,0,0,0,0,0,0
,Talinum,0,0,0,0,0,0,0,0,0,0,0,0,0
,Tamarind flower,0,0,0,0,0,0,0,0,0,0,0,0,0
,Tamarind Fruit,1.1,0,0,0.7,0.66,0.3,0.28,0.26,0.2,0.15,0.12,0.11,0.1
,Tambis,1.21,1.13,1.55,1.2,1.1,1.83,2.22,2.69,2.67,2.28,2.2,2.05,3.31
,Taro/Gabi,992.93,972.49,992.68,1014.79,1029.43,1031.01,1003.76,1014.14,1030.72,1003.23,1004.02,1017.06,1022.19
,Tawri,0,0,0,0,0,0,0,0,0,0,0,0,0
,Tiger Grass,9.6,7.8,7.2,5.6,3,1,0,0,0,0,0,0,0
,Tikog,0,0,0,0,1.2,0,0,0,0,0,0,0,0
,Tobacco,61,53.5,41.25,24.25,15.15,5,3.59,2.58,0,0,0,0,0
,Tobacco Native,61,53.5,41.25,24.25,15.15,5,3.59,2.58,0,0,0,0,0
,Tobacco Others,0,0,0,0,0,0,0,0,0,0,0,0,0
,Tobacco Virginia,0,0,0,0,0,0,0,0,0,0,0,0,0
,Tomato,405.33,404.12,414.36,410.48,413.83,412.73,412.22,416.33,433.91,401.34,383.73,386.27,380.19
,Tugue,43.6,40.5,42.7,43.11,41.3,37.2,38.65,38.66,38.36,38.4,38.2,37.65,37.23
,Turmeric/luyang dilaw,90.22,81.94,85.5,87.74,89.06,85.63,87.57,87.88,90.32,91.75,92.55,92.67,93.25
,Turnips/Singkamas,0,0,0,0,0,0,0,0,0,0,0,0,0
,Vanda,11.73,8.25,6.4,4.9,1.25,0.35,0.1,0.11,0.1,0.12,0.13,0.13,0
,Water Lily,14.25,11.3,10,13.9,11.95,8.35,0.3,0.2,0.2,0.21,0.22,0.22,0.28
,Watercress,0,0,0,0,0,0,0,0,0,0,0,0,0
,Watermelon,152.55,32.5,45.25,46.7,46.96,79.95,83.44,81.08,109.4,122.47,128.23,133.07,134.76
,Winged beans/Sigarilyas,0,0,0,0,0,0,0,0,0,0,0,0,0
,Wonder beans,0,0,0,0,0,0,0,0,0,0,0,0,0
,Yacon,0,0,0,0,0,0,0,0,0,0,0,0,0
,Yambeans,0,0,0,0,0,0,0,0,0,0,0,0,0
,Yellow Bell,8.75,7.45,8.2,5.85,2.5,2,0,0,0,0,0,0,0
,Yerba Buena,2.8,1.95,1.8,1.62,1,0.8,0,0,0,0,0,0,0
,Young corn,0,0,0,0,0,0,0,0,0,0,0,0,0
,Zapote,0,0,0,0,0,0,0,0,0,0,0,0,0
,Zucchini,0,0,0,0,0,0,0,0,0,0,0,0,0
CORDILLERA ADMINISTRATIVE REGION (CAR),,628842.23,605369.95,606257.72,629378.54,703663.74,701436.08,679452.05,636844.82,633440.1,628415.75,628835.67,626571.85,634869.71
,Abaca (dried raw fiber),13.37,13.08,13.2,13.03,11.24,0,0,0,0,0,0,0,0
,Abaca Leafsheath,0,0,0,0,0,0,0,0,0,0,0,0,0
,Abiu,0,0,0,0,0,0,0,0,0,0,0,0,0
,African Palm Leaves,0,0,0,0,0,0,0,0,0,0,0,0,0
,Agitway,0,0,0,0,0,0,0,0,0,0,0,0,0
,Alogbati,17.92,18.64,18.2,18,17,17.4,15.15,7.2,5.3,2.85,2.5,2.78,3.31
,Alubihod,0,0,0,0,0,0,0,0,0,0,0,0,0
,Alucon(bungon),0.61,0.63,0.91,1.34,1.86,2.17,2.33,1.67,1.79,1.48,1.67,1.46,1.62
,Ampalaya Fruit,453.77,455.05,472.27,490.71,471.29,475.02,442.26,453.77,419.93,425.98,425.2,415.51,422.89
,Ampalaya leaves,22.84,23.45,24.29,26.11,26.64,30.17,29.03,28.22,28.69,28.26,29.65,30.16,31.47
,Anonas,1,1.23,1.25,1,1,0.75,0.75,0.1,0.1,0,0,0,0
,Anthurium,179.47,174.83,178.77,181.01,177.51,175.85,177.76,201.51,220.4,235.5,207,286.53,317.8
,Apat-apat,0,0,0,0,0,0,0,0,0,0,0,0,0
,Apatot,0,0,0,0,0,0,0,0,0,0,0,0,0
,Ariwat,0.1,0.04,0.03,0.04,0.05,0.05,0.04,0.02,0.03,0.02,0.01,0,0
,Arrowroot,0,0,0,0,0,0,0,0,0,0,0,0,0
,Ashuete,24.12,23.37,23.88,23.61,24.39,25.15,26.16,26,25.92,26.08,25.94,24.8,24.41
,Asparagus,0,0,0,0,0,0,0,0,0,0,0,0,0
,Aster,147.88,145.36,143.81,147.93,149.1,147.36,146.53,145.17,137.21,131.5,115,135.66,143.08
,Atis,16.74,16.1,20.31,18.8,16.6,13.65,11.65,9.55,7.03,4.86,3.97,4.22,3.77
,Avocado,1280.25,1261.75,1211.76,1233.75,1235.31,1168.24,1111.48,1044.05,989.65,965.39,968.05,946.89,972.84
,Azucena,0,0,0,0,0,0,0,0,0,0,0,0,0
,Baby's Breath,23.7,22.95,20.35,18.77,17.99,17.64,17.72,17.77,17.14,13.5,11.4,11.65,11.64
,Bagbagkong flower,0,0,0,0,0,0,0,0.34,0,0,0,0,0
,Bagbagkong fruit,0,0,0,0,0,0,0,0,0,0,0,0,0
,Bago leaves,0,0,0,0,0,0,0,0,0,0,0,0,0
,Balimbing,0,0,0,0,0,0,0,0,0,0,0,0,0
,Ballaiba,0,0,0,0,0,0,0,0,0,0,0,0,0
,Bamboo shoots,180,178.55,181.41,188.01,189.69,192.9,195.04,198.45,193.42,197.87,197.06,202.29,205.8
,Banaba,0,0,0,0,0,0,0,0,0,0,0,0,0
,Banana,25668.92,25082.53,25100.14,27194.63,26254.01,26576.42,25584.5,21104.45,20866.52,18574.62,20487.05,21097.6,22046.8
,Banana Blossom,8.75,8.92,12.2,15.11,14.19,13.53,13.49,11.86,13.53,9.15,15.05,17.35,20.18
,Banana Bungulan,6299.43,6136.51,6137.96,5958.6,5986.97,6048.89,5600.99,5532.18,5283.74,4573.29,4400.24,4497.38,4722.8
,Banana Cavendish,0,0,0,0,0,0,0,0,0,0,0,0,0
,Banana Lakatan,4317.99,4231.33,4145.98,4829.33,4603.59,4457.64,4276.17,2962.31,2736.5,2790.63,3265.11,3028.08,2988.32
,Banana Latundan,5007.87,4971.65,5004.1,6017.17,5908.1,5998.53,6039.75,4365.43,4616.24,3702.49,4697.62,5043.31,5196.6
,Banana Leaves,0.5,0.55,0.5,0.5,0.6,0.4,0.4,0.2,0,0,0,0,0
,Banana Others,1022.88,974.48,902.17,836.72,841.6,856.62,823.26,686.57,659.1,514.93,530.57,614.99,685.9
,Banana pith,0,0,0,0,0,0,0,0,0,0,0,0,0
,Banana Saba,9020.75,8768.56,8909.93,9552.81,8913.75,9214.74,8844.33,7557.96,7570.93,6993.28,7593.51,7913.84,8453.18
,Bariw Fiber,0,0,2,0,0,0,0,0,0,0,0,0,0
,Basil,0,0,0,0,0,0,0,0,0.02,0.01,0.01,0.01,0.01
,Batwan,0,0,0,0,0,0,0,0,0,0,0,0,0
,Bawing Sulasi,0,0,0,0,0,0,0,0,0,0,0,0,0
,Beets,36.88,35.73,34.02,34.27,34.47,31.95,25.75,25.7,25.21,24.85,23.7,34.58,34.86
,Betel Nut,29.47,30.25,32.38,39.01,51.22,53.68,56.12,53.88,61.62,61.12,67.04,72.51,81.3
,Bignay,4.25,4.94,8.75,19,26,26.5,27.5,23.25,23.95,24.32,29.24,32.26,40.17
,Black Beans,59.91,61.53,58.22,57.05,57,51.21,46.85,32.86,18.69,13.1,13.01,12.57,12.81
,Black Pepper,9.72,9.57,9.66,9.74,10.39,10.35,11.5,4.89,4.6,4.26,4.1,3.1,2.7
,Blue Grass,0,0,0,0,0,0,0,0,0,0,0,0,0
,Bottle Gourd/Upo,1307.08,1308.29,1315.6,1292.8,1323.77,1200.32,1176.83,1211.07,1165.08,1147.61,1106.35,1097.19,1112.24
,Breadfruit,3.56,3.57,5.15,23.19,21.6,19.04,18.61,13.12,10.74,3.52,4.14,3.98,3.93
,Broccoli,1846.94,1863.96,1919.3,1948.35,1984.13,1890.09,1820.56,2076.99,1790.62,2109.51,2292.8,2470.05,2844.05
,Bromeliad,0,0,0,0,0,0,0,0,0,0,0,0,0
,Cabbage,102343.6,98942.82,99361.72,99957.6,99520.12,97306.77,94727.79,94233.04,93032.52,100501.76,101124.37,95542.18,91940.95
,Cacao,13.77,14,14.53,21.12,27.73,31.03,30.93,22.4,27.15,25.72,32.08,33.84,36.49
,Cactus,0,0,0,0,0,0,0,0,0,0,0,0,0
,Calachuci,0,0,0,0,0,0,0,0,0,0,0,0,0
,Calamansi,420.82,418.7,420.15,417.78,444.58,445.37,435.46,440.68,437.5,444.83,466.82,500.6,538.02
,Calumpit,0,0,0,0,0,0,0,0,0,0,0,0,0
,Camangeg,0,0,0,0,0,0,0,0,0,0,0,0,0
,Camansi,0.87,0.85,4.7,4.57,4.12,3.4,3.38,2.55,2.44,3.03,3.12,3.83,5.27
,Camatchili,1.11,1.14,1.02,0.79,0.8,0.3,0.25,0.04,0.03,0.01,0,0,0
,Camote tops,1557.61,1485.77,1491.99,1494.72,1497.02,1433.1,1355.44,1312.2,1239.16,1198.58,1238.49,1260.98,1290.05
,Canistel,39.27,36.05,33.62,30.08,25.25,25.08,20.86,15.35,13.21,11.18,9.74,7.28,5.97
,Carabao Grass,0,0,0,0,0,0,0,0,0,0,0,0,0
,Carnation,75.07,76.38,78.66,134.71,152.48,111.83,97.66,76.87,66.2,50.4,38.75,40.78,41.77
,Carrots,63352.54,58766.14,60126.13,60038.42,60507.33,59526.75,58694.95,58319.41,57779.36,58116.08,56770.43,56822.92,50981.74
,Cashew,1.3,1.33,1.34,1.2,1,0.85,0.2,0,0,0,0,0,0
,Cassava,1812.82,1670.59,2194.02,11621.16,12196.6,13377.46,16833.03,22287.1,22606.02,15518.86,15783.07,13670.22,13518.59
,Cassava for food,0,0,0,0,0,0,1196.69,1165.91,1171.1,1187.81,1288.61,1246.11,1307.99
,Cassava for Industrial use,0,0,0,0,0,0,15636.34,21121.19,21434.92,14331.05,14494.46,12424.11,12210.6
,Cassava tops,0,0,0,0,0,0,0,0,0,0,0,0,0
,Castor Beans,0,0,0,0,0,0,0,0,0,0,0,0,0
,Cauliflower,5209.78,5290.32,5302.22,5206.66,5144.13,5178.74,5045.72,5432.49,4866.59,5106.58,5209.33,4436.7,3415.83
,Celery,3624.51,3217.66,3077.03,3114.69,3052.29,2987.86,2977.23,3106.54,3079.49,3153.64,3301.99,3536.23,3544.9
,Chayote fruit,51088.89,46370.67,45403.12,45674.3,45690.54,45298.9,40970.71,39101.29,37672.55,43310.36,53689.5,60775.39,66230.63
,Chayote tops,422.69,399.88,396,399.9,395.76,374.51,366.29,356.81,296.58,348.58,349.93,386.16,408.99
,Chaysim,0,0,0,0,0,0,0,0,0,0,0,0,0
,Chick Pea/Garbansos,0,0,0,0,0,0,0,0,0,0,0,0,0
,Chico,16.69,17.9,18.19,20.09,19.54,16.6,15.81,12.2,9.96,5.68,5.32,5.64,5.28
,Chili Pepper Fruit,6.66,6.79,7.35,7.89,9.28,9.64,10.99,11.26,11.05,10.43,12.19,14.48,16.96
,Chinese malunggay,0,0,0,0,0,0,0,0,0,0,0,0,0
,Chives,0,0,0,0,0,0,0,0,0,0,0,0,0
,Chrysanthemum,1360.85,1357.99,1401.4,1419.59,1364.44,1322.98,1186.2,1283,1348.5,1350.5,1080.58,1125.42,1110.63
,Coconut (w/ husk),913.98,907.24,952.23,1078.78,1172.97,1165.07,1037.39,981.41,942.25,912.54,1024.13,1064.64,1133.58
,Coconut Leaves,0,0,0,0,0,0,0.35,0.4,0.65,0.65,0.91,1.16,1.57
,Coconut Mature,734.82,691.14,706.64,743.41,785.48,756.48,644.4,614.35,560.41,552.62,604.82,613.21,602.11
,Coconut pith,0,0,0,0,0,0,0,0,0,0,0,0,0
,Coconut Sap/Tuba,0,0,0,0,0,0,0,0,0,0,0,0,0
,Coconut Young,179.16,216.1,245.59,335.37,387.49,408.58,392.99,367.06,381.84,359.93,419.32,451.43,531.47
,Coffee (dried berries w/ pulp),5608.13,5627.13,5673.21,5464.82,5251.48,5210.02,3735.86,1886.17,2198.99,1595.88,2006.27,2229.18,0
,Coffee (green coffee beans),2804.07,2813.57,2836.61,2732.41,2625.74,2605.01,1867.93,943.08,1099.49,797.94,1003.13,1114.59,997.83
,Coffee Arabica (dried berries),550.32,549.84,555.12,548.34,578.56,582.07,531.29,521.44,518.57,526.73,694.94,1046.04,0
,Coffee Arabica (green coffee beans),275.16,274.92,277.56,274.17,289.28,291.04,265.64,260.72,259.29,263.36,347.47,523.02,576.9
,Coffee Excelsa (dried berries),84.58,86.44,88.38,84.05,78.55,77.48,58.01,31.33,28.17,27.58,28.32,27.82,0
,Coffee Excelsa (green coffee beans),42.29,43.22,44.19,42.03,39.28,38.74,29.01,15.67,14.09,13.79,14.16,13.91,14.18
,Coffee Liberica (dried berries),17.59,17.27,16.92,16.56,16.43,16.22,16.09,16.5,16.93,16.81,16.49,15.45,0
,Coffee Liberica (green coffee beans),8.8,8.64,8.46,8.28,8.22,8.11,8.05,8.25,8.47,8.41,8.25,7.73,7.45
,Coffee Others (dried berries),183.55,0,0,0,0,0,0,0,0,0,0,0,0
,Coffee Others (green coffee beans),91.78,0,0,0,0,0,0,0,0,0,0,0,0
,Coffee Robusta (dried berries),4772.09,4973.58,5012.79,4815.87,4577.94,4534.25,3130.47,1316.9,1635.31,1024.77,1266.52,1139.87,0
,Coffee Robusta (green coffee beans),2386.05,2486.79,2506.4,2407.94,2288.97,2267.12,1565.24,658.45,817.66,512.38,633.26,569.94,399.31
,Cogon,3.43,3.34,3.65,8.2,11.5,14.74,11.71,5.75,5.75,2,2.3,2.57,2.73
,Coir,0,0,0,0,0,0,0,0,0,0,0,0,0
,Coriander,0,0,0,0,0,0,0,0,0,0,0,0,0
,Cotton,0,0,0,0,0,0,0,0,0,0,0,0,0
,Cowpea,98.36,98,96.22,99.83,102.42,104.25,100.98,99.41,109.91,94.62,96.16,92.5,94.11
,Cowpea (dry),78.59,76.68,76.87,79.78,82.22,83.05,79.43,78.66,89.76,76.88,76.86,71.41,70.89
,Cowpea (green),19.77,21.32,19.35,20.05,20.2,21.2,21.55,20.75,20.15,17.74,19.3,21.09,23.22
,Cowpea tops,1.41,1.67,1.6,1.55,1.35,1.32,1.15,0.6,0.35,0.18,0.11,0.12,0
,Cucumber,3013.02,2892.92,2901.95,2943.07,2990.34,2910.66,2810.52,2668.89,2636.91,2642.06,2775.85,3082.22,3184.87
,D.Marginata Tricolor,0,0,0,0,0,0,0,0,0,0,0,0,0
,D.Sanderiana White (Whitecorn),0,0,0,0,0,0,0,0,0,0,0,0,0
,D.Sanderiana Yellow,0,0,0,0,0,0,0,0,0,0,0,0,0
,Dahlia,0,0,0,0,0,0,0,0,0,0,0,0,0
,Daisy,57.15,55.48,53.4,53.7,54.81,53.74,52.58,52.7,51.5,47.25,39.5,50.75,51.16
,Dawa,0,0,0,0,0,0,0,0,0,0,0,0,0
,Dendrobium,0,0,0,0,0,0,0,0,0,0,0,0,0
,Dracaena,0,0,0,0,0,0,0,0,0,0,0,0,0
,Dragon fruit,0,0,0.5,0.4,0.25,0.5,1.9,1.6,1.75,134.16,147.68,221.8,260.68
,Duhat,13.2,13.35,13.25,9.5,8.5,8,6,5,3,1,0.3,0.25,0.2
,Durian,0,0,0,0,0,0,0,0,0,0,0,0,0
,Edible fern/Paco,5.36,5.78,8.22,11.53,15.21,15.8,15.79,15.99,14.4,11.39,13.17,14.89,17.34
,Eggplant,795.72,805.02,823.2,891.53,956.74,974.67,946.3,992.74,963.74,1001.1,1061.52,1076.4,1148.86
,Euphorbia,6.9,3.2,1,0.65,0,0,0,0,0,0,0,0,0
,Fishtail Palm,0,0,0,0,0,0,0,0,0,0,0,0,0
,Flemingia,0,0,0,0,0,0,0,0,0,0,0,0,0
,Florida Beauty,0,0,0,0,0,0,0,0,0,0,0,0,0
,Gabi leaves w/ stem,1970.18,1966.84,1969.32,1969.39,2008.05,1905.9,1938.01,2004.56,1870.07,1866.92,1928.31,1952.46,2111.65
,Gabi runner,0,0,0,0,0,0,0,0,0,0,0,0,0
,Garden pea/Gisantes,0,0,0,0,0,0,0,0,0,0,0,0,0
,Garlic (Dried bulb),14.39,13.45,14.45,12.55,11.15,11.99,10.4,1,0.75,2.35,0.25,0.31,0
,Garlic leeks,0,0,0,0,0,0,0,0,0,0,0,0,0
,Gerbera,0,0.2,0.18,0.2,0.19,20,0.18,19,0.18,0.15,0.15,0.22,0.24
,Ginger,996.06,959.84,955.42,940.15,946.32,924.39,886.38,906.63,917.15,935.2,1043.44,1153.33,1355.94
,Ginseng,0,0,0,0,0,0,0,0,0,0,0,0,0
,Gladiola,972.28,894.04,832.93,739.64,515.64,406.16,294.32,275.5,216.28,177.5,132.5,132.57,130.18
,Golden Melon,0,0,0,0,0,0,0,0,0,0,0,0,0
,Gotocola,0,0,0,0,0,0,0,0,0,0,0,0,0
,Granada,0,0.3,0.15,0.18,0.2,0.19,0.18,0.1,0.11,0.09,0.05,0,0
,Grapes,0,0,0,0,0,0,0,0,0,0,0,0,0
,Grapes (Green),0,0,0,0,0,0,0,0,0,0,0,0,0
,Grapes (Red),0,0,0,0,0,0,0,0,0,0,0,0,0
,Greater yam/Ubi,160.44,158.77,158.09,166.28,169.96,166.9,157.2,171.25,164.9,161.25,176.37,202.28,243.52
,Green Corn Stalk,0,0,0,0,0,0,0,0,0,0,0,0,0
,Green papaya,1198.53,1098.41,1071.92,1061.31,1063.04,1014.15,984.96,967.42,907.89,889.04,828.92,877.19,947.06
,Guava,583.64,556.19,524.59,535.83,489.14,411.2,380.64,358.69,328.33,303.88,279.17,261.61,265.22
,Guava (Guaple),178.05,171.31,166.37,170.25,169.07,161.42,152.6,144.45,129.99,119.86,109.71,100.46,97.88
,Guava (Native),405.59,384.88,358.22,365.58,320.07,249.78,228.04,214.24,198.33,184.02,169.46,161.15,167.34
,Guinea Grass,0,0,0,0,0,0,0,0,0,0,0,0,0
,Guyabano,261.95,263.01,247.85,256.85,260.73,266.68,271.33,249.88,252.57,253.49,255.66,271.52,301.88
,Halib-on,0,0,0,0,0,0,0,0,0,0,0,0,0
,Hanlilika,0,0,0,0,0,0,0,0,0,0,0,0,0
,Heliconia,0,0,0,0,0,0,0,0,0,0,0,0,0
,Hibi,0,0,0,0,0,0,0,0,0,0,0,0,0
,Ikmo/Buyo,3.02,3.15,3.72,5.72,7.75,8.81,9.84,10.43,13.49,16.6,20.97,25.08,33.41
,Ilang-Ilang,0,0,0,0,0,0,0,0,0,0,0,0,0
,Ipil-Ipil Leaves,0,0,0,0,0,0,0,0,0,0,0,0,0
,Jackfruit young,69.24,71.58,58.6,50.49,52.66,52.63,53.2,14.51,13.97,12.86,13.94,17.71,19.2
,"Jackfruit, ripe",285.32,289.71,285.07,291.27,288.11,243.61,208.08,189.3,179.5,156.33,144.54,132.41,132.07
,Jatropha,0,0,0,0,0,0,0,0,0,0,0,0,0
,Jute,0,0,0,0,0,0,0,0,0,0,0,0,0
,Kamias,8.02,8.32,8.99,8.46,8.48,8.56,7.62,5.43,5.01,5.62,6.18,6.82,6.61
,Kaong,0,0,0,0,0,0,0,0,0,0,0,0,0
,Kaong Sap,0,0,0,0,0,0,0,0,0,0,0,0,0
,Kapok,0,0,0,0,0,0,0,0,0,0,0,0,0
,Karamay,0.85,0.75,0.75,0.68,0.94,0.87,0.7,0.31,0.27,0.3,0.96,0.75,0.43
,Katuray,0.39,0.56,0.29,0.28,0.3,0.26,0.24,0.18,0.07,0.06,0.07,0.06,0.08
,Kentucky beans,41.8,45.65,42.35,35.5,34,33.1,28.5,7.45,6.9,6.7,7.68,7.56,9.07
,Kidney beans,40.08,33.57,32.07,30.51,29.6,27.38,25.67,18.33,16.29,12.68,16.47,16.85,18.33
,Kidney beans (red),0,0,0,0,0,0,0,0,0,0,0,0,0
,Kidney beans (white),40.08,33.57,32.07,30.51,29.6,27.38,25.67,18.33,16.29,12.68,16.47,16.85,18.33
,Kinchay,4.31,4.23,4.27,4.29,4.32,4.48,4.73,4.87,4.76,4.9,5.22,5.71,6.02
,Kondol,4.75,5.06,4.85,4.8,3.87,3.5,2.95,2.3,1.15,0.45,0,0,0
,Kulibangbang,0,0,0,0,0,0,0,0,0,0,0,0,0
,Kulitis,0,0,0,0,0,0,0,0,0,0,0,0,0
,Labig Leaves,0,0,0,0,0,0,0,0,0,0,0,0,0
,Lady's Finger/Okra,33.73,33.76,39.61,47.33,49.76,49.98,45.85,48.89,42.79,43.87,47.96,48.35,48.59
,Lagundi,0,0,0,0,0,0,0,0,0,0,0,0,0
,Lanzones,16.6,12.1,15.55,38.5,46.24,50.33,42.95,35.48,30.21,36.3,45.14,46.68,39.4
,Laurel,0,0,0,0,0,0,0,0,0,0,0,0,0
,Laza/Tambo,0,0,0,0,0,0,0,0,0,0,0,0,0
,Leaf Fern,0,0,0,0,0,0,0,0,0,0,0,0,0
,Lemon,194.73,190.62,182.11,185.77,188.35,187.51,188.69,202.22,211.14,215.7,232.5,264.75,305.85
,Lemon grass/Tanglad,0,0,0,0,0,0,0,0,0,0,0,0,0
,Lepote,0,0,0,0,0,0,0,0,0,0,0,0,0
,Lettuce,1486.15,1233.18,1269.73,1283.4,1290.91,1203.61,1188.01,1209.31,1098.93,1331.71,1400.84,1489.52,1543.99
,Likway,0,0,0,0,0,0,0,0,0,0,0,0,0
,Lima beans/Patani,65.07,60.91,61.26,61.18,61.14,56,54.31,53.89,50.1,49.32,49.36,48.31,50.01
,Lime,96.1,102.33,102.09,103.95,111.45,99.7,103.01,107.15,108.51,109.87,94.42,87.61,94.69
,Longans,0,0,0,0,0,0,0,0,0,0,0,0,0
,Loquat,0,0,0,0,0,0,0,0,0,0,0,0,0
,Lumbia,0,0,0,0,0,0,0,0,0,0,0,0,0
,Lumbia Leaves,0,0,0,0,0,0,0,0,0,0,0,0,0
,Lupo,0,0,0,0,0,0,0,0,0,0,0,0,0
,Mabolo,0,0,0,0,0,0,0,0,0,0,0,0,0
,Maguey,0,0,0,0,0,0,0,0,0,0,0,0,0
,Makopa,0.5,0.55,0.6,0.7,0.75,0.7,0.6,0.1,0.08,0,0,0,0
,Malunggay Fruit,18.01,18.15,12.08,11,11.55,11.61,11.44,9.32,11.51,9.27,9.08,7.47,7.51
,Malunggay leaves,19.3,19.54,19.81,23.19,22.9,22,21.75,17.93,16.23,15.9,17.79,17.58,18.24
,Mandarin,796.27,796.85,807.83,845.54,889.95,872.2,711.21,653.91,564.27,529.99,518.58,461.25,448.81
,Mango,3721.16,3709.07,3317.63,3421.81,3609.76,3332.41,3101.55,2878.02,2718.4,2896.45,2398.88,2595.32,2674.92
,Mango Carabao,3615.64,3594.95,3204.38,3283.32,3465.4,3203.96,2970.89,2792.74,2613.12,2759.82,2254.16,2452.19,2529.05
,Mango Others,77.52,87.12,88.25,98.49,102.36,96.45,105.66,83.28,97.28,124.38,131.22,132.62,134.5
,Mango Piko,28,27,25,40,42,32,25,2,8,12.25,13.5,10.51,11.37
,Mangosteen,0,0,0,0,0,0,0,0,0,0,0,0,0
,Manzanita/Aratelis,6.32,6.09,5.7,3.9,4.5,2.45,1.45,0.3,0.25,0,0,0,0
,Marang,0,0,0,0,0,0,0,0,0,0,0,0,0
,Mayana,0,0,0,0,0,0,0,0,0,0,0,0,0
,Melon,122.76,121.46,122.07,91.57,94.48,96.4,93.27,94.75,92.18,90.11,88.02,85.51,84.8
,Melon (Honey-dew),0,0,0,0,0,0,0,0,0,0,0,0,0
,Melon (Muskmelon),122.76,121.46,122.07,91.57,94.48,96.4,93.27,94.75,92.18,90.11,88.02,85.51,84.8
,Mini Pineapple,0,0,0,0,0,0,0,0,0,0,0,0,0
,Mint,0,0,0,0,0,0,0,0,0,0,0,0,0
,Mungbean/Mongo,130.88,140.52,140.76,134.05,133.03,128.44,124.19,111.23,93.29,79.7,79.81,80.33,82.67
,Mushroom,63.06,61.57,63.11,64.69,66.87,67.18,68.85,68.85,68.17,67.67,73.7,71,72.01
,Mustard,110.99,106.75,107.08,103.9,103.63,94.5,94.23,93.81,99.17,98.01,108.1,112.29,135.58
,Napier Grass,0,0,0,0,0,0,0,0,0,0,0,0,0
